1	9	0
1	4	1
1	12	0
1	6	0
1	6	0
2	4	0
1	9	0
1	6	0
1	7	0
1	14	0
1	9	0
3	7	0
1	10	0
2	4	0
1	9	0
2	4	0
2	14	0
14	7	0
1	6	0
1	8	0
3	3	1
1	5	0
2	6	0
1	5	1
1	7	0
1	6	0
1	6	0
1	5	0
1	5	0
1	9	0
1	7	0
1	4	1
1	5	0
1	9	0
1	10	0
4	5	0
1	7	0
1	8	0
1	6	0
3	5	1
1	10	0
1	7	0
2	6	0
1	4	0
1	10	0
1	3	0
1	9	0
2	4	0
1	4	0
1	6	0
3	1	0
1	9	0
2	5	1
1	4	0
4	6	0
1	7	0
3	8	0
5	2	1
3	6	0
2	5	0
3	8	0
1	5	0
17	7	0
5	6	0
2	8	0
2	8	0
1	7	0
1	6	0
1	3	0
3	9	0
1	4	0
7	3	0
1	2	0
1	9	0
4	9	0
1	4	0
2	4	1
4	7	0
1	12	0
1	4	1
1	4	0
1	5	0
3	6	1
1	6	0
2	8	0
1	6	0
1	5	0
2	7	0
1	9	0
1	6	0
1	9	0
2	7	0
1	6	0
1	3	1
1	12	0
2	5	0
1	5	0
1	11	0
1	8	0
1	6	0
2	10	0
2	8	0
1	9	0
3	6	0
1	13	0
2	5	0
1	9	0
1	7	0
2	6	0
3	8	0
1	8	0
2	4	1
2	9	0
1	1	0
2	6	0
1	10	0
1	9	0
1	5	0
1	8	0
36	3	1
1	9	0
1	13	0
7	2	1
1	8	0
1	1	0
1	7	0
3	8	0
1	12	0
2	4	1
2	6	1
1	7	1
1	9	0
1	2	0
2	4	0
3	8	0
2	6	0
1	6	0
1	8	0
2	1	0
1	12	0
43	1	1
2	7	0
2	5	0
1	7	0
2	6	0
2	4	0
1	5	1
7	8	0
1	6	0
2	4	0
1	11	0
3	3	1
1	6	0
1	9	0
1	11	0
1	7	0
1	7	0
2	3	1
94	3	1
1	9	0
4	8	0
1	8	0
1	9	0
2	1	0
1	2	1
1	5	0
1	5	0
2	9	0
2	4	0
3	6	0
6	5	0
2	2	1
1	4	0
1	5	0
8	4	0
1	9	0
1	10	0
1	4	0
2	8	0
1	6	0
1	2	1
1	4	0
5	2	0
2	5	0
1	10	0
1	4	0
1	5	0
3	5	0
1	8	0
1	10	0
1	8	0
1	9	0
2	3	1
6	6	0
1	4	0
1	10	0
2	7	0
1	8	0
2	4	0
2	4	0
1	10	0
2	8	0
2	5	0
3	4	1
1	4	1
1	4	0
3	10	0
1	4	0
9	1	0
2	7	0
5	2	0
2	7	0
1	6	0
1	6	0
3	5	1
2	3	1
1	3	0
2	8	0
4	4	1
3	4	1
1	7	0
3	5	0
2	4	0
1	5	0
3	6	0
3	2	1
1	3	0
2	5	0
2	8	0
1	9	0
1	8	0
1	7	0
1	7	0
1	7	0
1	4	0
1	11	0
1	4	0
2	4	0
1	11	0
1	6	0
1	5	0
1	8	0
1	9	0
1	4	0
1	10	1
2	4	1
1	10	0
1	4	0
1	6	0
1	10	0
1	5	0
1	6	0
1	6	0
